school_uuid,class_of,url_source,downloaded_on
43,2014,http://www.law.siu.edu/_common/documents/aba-employment-2014.pdf,
43,2013,http://www.law.siu.edu/_common/documents/aba-employment-2013.pdf,
43,2012,http://www.law.siu.edu/_common/documents/aba-2012.pdf,
43,2011,http://www.law.siu.edu/_common/documents/aba-2011.pdf,
43,2010,N/A,N/A
44,2016,https://law.illinois.edu/wp-content/uploads/2017/04/ABA-Employment-Summary-for-Law-School-Graduates.pdf,2017-09-11
44,2015,https://law.illinois.edu/wp-content/uploads/2016/12/ABA-Class-of-2015-Employment-Summary-1.pdf,2017-09-11
44,2014,https://law.illinois.edu/wp-content/uploads/2016/12/ABA-Employment-Summary-for-2014-Graduates-1.pdf,2017-09-11
44,2013,N/A,N/A
44,2012,N/A,N/A
44,2011,N/A,N/A
44,2010,N/A,N/A
45,2016,http://www.kentlaw.iit.edu/Documents/Departments/Career%20Services/Handouts/Chicago-Kent%202016%20ABA%20Stats.pdf,2017-09-09
45,2015,http://www.kentlaw.iit.edu/Documents/Departments/Career%20Services/Chicago-Kent%202015%20ABA%20Employment%20Summary.pdf,2017-09-09
45,2014,http://www.kentlaw.iit.edu/Documents/Departments/Career%20Services/Handouts/C-K_ABA_EmploymentQuestionnaireSummary-REV-04-27-2015(0).pdf,2017-09-09
45,2013,http://www.kentlaw.iit.edu/Documents/Departments/Career%20Services/Handouts/ABAEmploymentSummaryFINAL2013.pdf,2017-09-09
45,2012,N/A,N/A
45,2011,N/A,N/A
45,2010,N/A,N/A
46,2016,https://law.depaul.edu/career-services/employment-data/Documents/2017%20ABA%20EQ%20(Submitted%204-7-17).pdf,2017-09-11
46,2015,https://law.depaul.edu/career-services/employment-data/Documents/aba_empl_summary_2015_final.pdf,2017-09-11
46,2014,https://law.depaul.edu/career-services/employment-data/Documents/aba_empl_summary_2014.pdf,2017-09-11
46,2013,https://law.depaul.edu/career-services/employment-data/Documents/aba_empl_summary_2013.pdf,2017-09-11
46,2012,N/A,N/A
46,2011,N/A,N/A
46,2010,N/A,N/A
47,2016,http://www.jmls.edu/career-services/job-stats/pdf/2016-employment.pdf,
47,2015,http://www.jmls.edu/career-services/job-stats/pdf/2015-employment.pdf,
47,2014,http://www.jmls.edu/career-services/job-stats/pdf/2014-employment.pdf,
47,2013,N/A,N/A
47,2012,N/A,N/A
47,2011,N/A,N/A
47,2010,N/A,N/A
48,2016,http://www.luc.edu/media/lucedu/law/career/pdfs/2016%20ABA%20EmploymentSummary.pdf,
48,2015,http://www.luc.edu/media/lucedu/law/career/pdfs/2015_ABA.pdf,
48,2014,http://www.luc.edu/media/lucedu/law/career/pdfs/2014_ABA.pdf,
48,2013,http://www.luc.edu/media/lucedu/law/career/pdfs/ABA%20Update%206_10.pdf,
48,2012,http://www.luc.edu/media/lucedu/law/career/pdfs/2012.pdf,
48,2011,http://www.luc.edu/media/lucedu/law/career/pdfs/2011.pdf,
48,2010,http://www.luc.edu/media/lucedu/law/career/pdfs/2010.pdf,
49,2016,http://www.law.northwestern.edu/professional-life/career/stats/documents/northwestern_law_employment_summary_2016.pdf,
49,2015,http://www.law.northwestern.edu/professional-life/career/stats/documents/northwestern_law_employment_summary_2015.pdf,
49,2014,http://www.law.northwestern.edu/professional-life/career/stats/documents/northwestern_law_employment_summary_amended_2014.pdf,
49,2013,http://www.law.northwestern.edu/professional-life/career/stats/documents/northwestern_law_employment_summary_2013.pdf,
